server time    : 2020-10-28 16:05:35(1603868735)
delay time     : 1.904
accelometer ODR: 3200 Hz
 Row #, Time-Stamp, X-AXIS, Y-AXIS, Z-AXIS
   599,           ,     -7,     -9,      2
   600,           ,     -6,     -7,      6
   601,           ,    -10,     -9,      4
   602,           ,     -6,      3,      2
   603,           ,     -1,     -3,      9
   604,           ,      4,      0,     10
   605,           ,      0,      0,     10
   606,           ,      5,      0,      9
   607,           ,      2,      4,      7
   608,           ,     10,      4,      7
   609,           ,      7,     -1,      7
   610,           ,     12,      4,      7
   611,           ,      6,      5,      0
   612,           ,      3,      5,      4
   613,           ,      8,      7,     -1
   614,           ,      3,      5,     -4
   615,           ,      4,      3,     -2
   616,           ,      3,      4,     -7
   617,           ,     -7,      5,     -8
   618,           ,     -6,      0,    -11
   619,           ,     -3,     -4,     -7
   620,           ,     -8,     -4,     -6
   621,           ,    -10,     -3,     -9
   622,           ,     -8,     -3,     -4
   623,           ,     -5,     -3,     -5
   624,           ,     -9,     -6,      0
   625,           ,     -5,     -6,      2
   626,           ,     -7,     -6,      7
   627,           ,     -7,      1,     10
   628,           ,     -1,     -4,      7
   629,           ,      2,     -5,     10
   630,           ,      5,     -4,     14
   631,           ,      4,      1,     10
   632,           ,      8,      5,     10
   633,           ,     14,      3,      9
   634,           ,     10,      0,     11
   635,           ,     11,      3,     11
   636,           ,      8,      3,      8
   637,           ,      4,      7,      1
   638,           ,     11,     12,      0
   639,           ,     10,      3,     -1
   640,           ,     10,      4,     -5
   641,           ,      4,      3,     -8
   642,           ,     -1,      7,     -9
   643,           ,      1,      3,     -7
   644,           ,     -2,      0,    -13
   645,           ,     -4,     -4,     -9
   646,           ,     -7,     -3,    -10
   647,           ,     -7,     -3,     -7
   648,           ,    -11,     -6,     -3
   649,           ,     -7,    -11,     -5
   650,           ,     -3,     -9,      2
   651,           ,    -13,    -11,      3
   652,           ,     -6,     -1,      1
   653,           ,     -6,     -9,     11
   654,           ,     -3,     -3,      9
   655,           ,     -1,     -1,     11
   656,           ,      7,      1,     11
   657,           ,      4,      4,     10
   658,           ,      6,     -1,      9
   659,           ,      9,      0,      8
   660,           ,      6,      5,      9
   661,           ,      9,      7,      5
   662,           ,      5,      4,      0
   663,           ,     14,      3,      0
   664,           ,     10,      7,      0
   665,           ,      6,      8,     -4
   666,           ,     10,      7,     -5
   667,           ,      7,      7,     -8
   668,           ,      5,      4,     -5
   669,           ,      3,     -1,     -9
   670,           ,      2,     -2,     -6
   671,           ,     -1,     -1,     -9
   672,           ,     -6,     -3,     -9
   673,           ,    -11,     -3,     -7
   674,           ,     -4,     -2,     -8
   675,           ,    -11,     -6,      2
   676,           ,    -12,     -5,      0
   677,           ,    -11,     -4,      4
   678,           ,     -3,     -6,      4
   679,           ,     -4,     -7,      8
   680,           ,     -1,      1,      8
   681,           ,     -5,      2,     12
   682,           ,     -2,      3,      4
   683,           ,      3,      3,      8
   684,           ,      2,      5,     14
   685,           ,      6,      3,      9
   686,           ,      9,      2,      8
   687,           ,      7,      6,      4
   688,           ,      9,     11,     -1
   689,           ,      7,      9,     -2
   690,           ,     11,      2,      4
   691,           ,      8,      7,     -2
   692,           ,      3,      9,    -12
   693,           ,      4,      4,    -14
   694,           ,      5,     -2,     -8
   695,           ,     -5,     -1,     -8
   696,           ,     -4,      0,    -17
   697,           ,     -4,      2,    -15
   698,           ,     -4,     -5,    -11
   699,           ,    -10,     -8,     -8
   700,           ,     -9,     -9,      0
   701,           ,    -10,     -2,     -4
   702,           ,     -9,     -5,     -2
   703,           ,     -7,    -11,      3
   704,           ,     -9,    -10,      3
   705,           ,     -1,     -5,      8
   706,           ,     -6,     -5,     12
   707,           ,      2,      4,     11
   708,           ,      2,      2,     10
   709,           ,      7,      0,     12
   710,           ,      5,      3,     10
   711,           ,      2,      6,      9
   712,           ,      2,      4,      7
   713,           ,     11,      7,      3
   714,           ,      6,      3,      7
   715,           ,     11,      9,      5
   716,           ,      9,      5,      1
   717,           ,      6,     10,     -7
   718,           ,      7,      5,     -6
   719,           ,      4,      0,     -5
   720,           ,      1,      9,     -6
   721,           ,     -4,      1,     -8
   722,           ,     -3,      3,    -10
   723,           ,     -2,     -4,    -14
   724,           ,     -2,     -4,     -4
   725,           ,     -8,     -1,     -2
   726,           ,    -15,     -4,     -8
   727,           ,     -7,      1,      2
   728,           ,     -4,     -7,      2
   729,           ,     -7,     -3,      6
   730,           ,    -11,     -3,      5
   731,           ,     -7,     -6,      6
   732,           ,     -6,      2,     10
   733,           ,      2,     -3,      5
   734,           ,     -1,     -1,     16
   735,           ,      7,      4,     11
   736,           ,      4,      3,     11
   736,      0.696,     11,      8,      5
   737,           ,     10,      4,      6
   738,           ,      8,     -1,      2
   739,           ,      8,      2,      7
   740,           ,      2,      5,      0
   741,           ,      3,      5,     -1
   742,           ,      4,      6,     -5
   743,           ,     10,      4,     -3
   744,           ,      3,     -2,    -11
   745,           ,     -4,      4,     -5
   746,           ,     -4,      5,     -8
   747,           ,     -9,     -1,    -11
   748,           ,     -3,     -4,    -11
   749,           ,     -8,     -1,     -4
   750,           ,     -8,     -2,     -7
   751,           ,    -11,     -3,     -5
   752,           ,     -7,     -5,     -5
   753,           ,    -10,     -6,      5
   754,           ,     -9,     -8,      4
   755,           ,     -5,     -4,      5
   756,           ,     -7,      1,      7
   757,           ,     -1,     -2,      6
   758,           ,     -5,     -2,     10
   759,           ,      3,      0,     11
   760,           ,      1,     -2,     11
   761,           ,      9,      6,      9
   762,           ,     11,      1,      7
   763,           ,      8,      7,      1
   764,           ,     14,     -1,      5
   765,           ,      8,      8,      7
   766,           ,     10,      9,     -1
   767,           ,     10,      6,     -5
   768,           ,     11,      7,     -3
   769,           ,      8,      6,     -1
   770,           ,      4,      0,     -2
   771,           ,     -1,      8,     -5
   772,           ,     -3,     -1,    -11
   773,           ,     -7,     -4,    -11
   774,           ,     -6,     -6,     -5
   775,           ,    -10,     -1,     -9
   776,           ,     -7,      1,     -6
   777,           ,     -9,     -4,     -9
   778,           ,     -9,     -9,      0
   779,           ,     -3,     -9,     -2
   780,           ,    -10,     -5,      6
   781,           ,     -7,     -5,      7
   782,           ,      2,     -5,      8
   783,           ,     -4,     -7,     12
   784,           ,      4,     -7,     13
   785,           ,      1,     -4,     11
   786,           ,      7,      8,      8
   787,           ,      1,      3,     12
   788,           ,     11,      1,     12
   789,           ,     12,      5,      7
   790,           ,      9,      4,      3
   791,           ,      6,     12,      4
   792,           ,     11,      7,      2
   793,           ,     11,      8,      0
   794,           ,     10,      0,     -1
   795,           ,      2,      9,     -9
   796,           ,     -3,      5,    -10
   797,           ,     -1,      6,     -8
   798,           ,     -1,      2,     -6
   799,           ,     -2,     -3,     -4
   800,           ,     -6,      0,    -10
   801,           ,     -7,     -5,    -10
   802,           ,    -10,     -2,     -9
   803,           ,     -6,     -9,     -7
   804,           ,     -5,     -4,     -1
   805,           ,    -10,    -13,      3
   806,           ,    -13,     -4,      1
   807,           ,     -8,     -7,      8
   808,           ,     -3,     -3,     10
   809,           ,     -2,     -4,     11
   810,           ,     -1,     -3,      9
   811,           ,      3,      2,      8
   812,           ,      3,      2,      7
   813,           ,      9,     -1,      9
   814,           ,      7,      1,      8
   815,           ,      6,      6,      5
   816,           ,      9,     11,      7
   817,           ,      9,      4,     -3
   818,           ,     17,      7,      0
   819,           ,      7,      5,     -3
   820,           ,      6,      2,     -5
   821,           ,      5,      5,     -7
   822,           ,      5,      3,     -5
